ID 合成物品名称 合成物品ID
22532 召唤法杖+钛金战锤 540532

22533 召唤法杖+石剑 540533

22534 召唤法杖+短剑 540534

22535 召唤法杖+收割者 540535

22536 召唤法杖+能量剑 540536

22537 召唤法杖+平凡法杖 540537

22538 召唤法杖+召唤法杖 540538

22539 召唤法杖+冰魄法杖 540539

22540 冰魄法杖+木棒 540540

22541 冰魄法杖+尖尖碰碰锤 540541

22542 冰魄法杖+冻结棒 540542

22543 冰魄法杖+钛金战锤 540543

22544 冰魄法杖+石剑 540544

22545 冰魄法杖+短剑 540545

22546 冰魄法杖+收割者 540546

22547 冰魄法杖+能量剑 540547

22548 冰魄法杖+平凡法杖 540548

22549 冰魄法杖+冰魄法杖 540549

22550 极寒域法杖+木棒 540550

22551 极寒域法杖+尖尖碰碰锤 540551

22552 极寒域法杖+冻结棒 540552

22553 极寒域法杖+钛金战锤 540553

22554 极寒域法杖+石剑 540554

22555 极寒域法杖+短剑 540555

22556 极寒域法杖+收割者 540556

22557 极寒域法杖+能量剑 540557

22558 极寒域法杖+平凡法杖 540558

22559 极寒域法杖+炽烈法杖 540559

22560 极寒域法杖+雷电法杖 540560

22561 极寒域法杖+淬毒法杖 540561

22562 极寒域法杖+复苏法杖 540562

22563 极寒域法杖+召唤法杖 540563

22564 极寒域法杖+冰魄法杖 540564

22565 极寒域法杖+极寒域法杖 540565

22566 木棒+木盾 540566

22567 石剑+木盾 540567

23000 土笋种子 200418

23001 紫苏种子 200419

23002 木床 200003

23003 木板凳 200375

23004 木桌子 200376

23005 木沙发 200377

23006 壁炉 200378

23007 木柜子 200379

23008 指路牌 200005

23009 融合台 150029

23010 手动发射器 200002

23011 夹子陷阱 200004

23012 装备架 200006

23013 假人模型 200001

23014 封闭的木板 200369

23015 木箱 200370

23016 虚空超级无敌大漩涡炸弹 200389

23017 虚空果树种子 200393

23018 虚空风铃花种子 200394

23019 虚空龙爪草种子 200396

23020 碎石路 200008

23021 绷带 12626

